Username,Tweet,Timestamp,Processed_Tweet,Dominant_Topic
@seheli_bachhar,"Well Done sir 
A railway officer at Borivali station, Mumbai, heroically saved a woman’s life in a split second.  

His courage and quick action deserve recognition and a well-earned reward!

#indvsnzfinal #PKMKBForever #ChampionsTrophy2025 #StupidMoment #MondayMotivation",2025-03-10T04:31:30.000Z,well done sir railway officer borivali station mumbai heroically saved woman life split second courage quick action deserve recognition wellearned reward,1
@GOKULSAIN523799,"Success at the #ChampionsTrophy means so much for Virat Kohli 
#ChampionsTrophy2025 
#ViratKohli𓃵 
#ICC 
#ChampionsTrophy",2025-03-10T04:27:24.000Z,success mean much virat kohli,2
@14Lilmask6739,"https://youtu.be/camawpbsJwI?si=SK-ztxjy-JnegRnM…
#ChampionsTrophy2025 #PPKritMyPleasureConcert",2025-03-10T04:33:57.000Z,,-1
@cse_aspirantss,"Which blood cells are called 'Soldiers' of the body ? 

Comment your answer  

#UPSC #upscprelims2025 #bpsc70th #Mppsc #uppsc   #ChampionsTrophy2025 #INDvsNZ #ChampionsTrophy #IndiaWins",2025-03-10T04:27:30.000Z,blood cell called soldier body comment answer,0
@pramodDagal,"भारत की पहली महिला शिक्षिका, समाज सुधारक और नारी सशक्तिकरण की प्रतीक सावित्रीबाई फुले जी की पुण्यतिथि पर शत-शत नमन। 
#सावित्रीबाई_फुले
#ChampionsTrophy2025",2025-03-10T04:43:49.000Z,भरत पहल महल शकषक समज सधरक सशकतकरण परतक सवतरबई पणयतथ शतशत नमन वतरबई_फल,1
@divya251thakur,"Shameless
Big news from Indore.
Stone pelting, arson and vandalism in celebration of India's victory in Champions Trophy
After all, who has a problem with India's victory?

#ChampionsTrophy2025
#OPPOReno13SkyBlue #India
#INDvsNZ
#RohitSharma",2025-03-10T04:27:31.000Z,shameless big news indore stone pelting arson vandalism celebration india victory champion trophy problem india victory,2
@jb_08nala,"Hip Hip Hurray.
Congratulations #TeamIndia for winning #ChampionsTrophy2025 .",2025-03-10T04:41:28.000Z,hip hip hurray congratulation winning,3
@NeerajRoyKumar,"Pune
#ChampionsTrophy2025",2025-03-10T04:32:36.000Z,pune,0
@TheAllr0under,"GOOD MORNING INDIA..!!

#ChampionsTrophy2025",2025-03-10T04:39:53.000Z,good morning india,0
@Supriyas_tadka,"Monday morning ....

#ChampionsTrophy2025 #RohitSharma𓃵 #KLRahul",2025-03-10T04:26:14.000Z,monday morning,0
@newswalemuni,"#ChampionsTrophy2025 जीतने के बाद जब #indiancricket टीम होटल पहुंची तो #RohitSharma𓃵 #ViratKohli𓃵 #HardikPandya समेत सभी खिलाड़ियों का फूल बरसाकर किया गया स्वागत. 
@ShreyasIyer15
 करने लगे बीट पर डांस. 
@TajHotels",2025-03-10T04:32:38.000Z,जतन हटल पहच समत खलडय बरसकर सवगत करन,2
@stakenewsindia,"It's the morning after India's #ChampionsTrophy triumph 

How's everyone doing? 

#ChampionsTrophy2025 #ChampionsTrophyFinal",2025-03-10T04:27:24.000Z,morning india triumph hows everyone,0
@khaitan48,"बिल्कुल सही! हर चैंपियन की यात्रा एक शुरुआत से होती है, और उनकी सफलता के पीछे असफलताओं से सीखने, हर चुनौती को अवसर में बदलने की जिद और हार न मानने की मानसिकता होती है! #ChampionsTrophy2025 #INDvsNZ",2025-03-10T04:38:44.000Z,बलकल चपयन यतर शरआत उनक सफलत असफलतओ सखन चनत अवसर बदलन मनन मनसकत,4
@vaitheek,"Two unpopular opinions: 1. Is Varun really such a super bowler? Most of the mystery to me is why batters play him so poorly. 2. Will 
@BCCI
 play colour blind again and appoint Rohit the red ball captain for 5 England tests because he won white ball #ChampionsTrophy2025?",2025-03-10T04:32:38.000Z,two unpopular opinion varun really super bowler mystery batter play poorly play colour blind appoint rohit red ball captain england test white ball,1
@Arjunrawathindu,"Cricket lover  
#ChampionsTrophy2025 #ChampionsTrophy #ChampionsTrophyFinal #RohitSharma𓃵 #comedyvideo",2025-03-10T04:28:34.000Z,cricket lover,3
@Ritik_Sanatani,"Sidhu Paaji is unstoppable! 
Joy spreads across India! 
#ChampionsTrophy2025",2025-03-10T04:42:59.000Z,sidhu paaji unstoppable joy spread across india,4
@DrEternal0,"To be honest, the intensity of cricket in Dubai was way better than those matches held in Pakistan. Dubai pitches were like giving full effort to score even a single run. A treat to watch for cricket fans.
#ChampionsTrophy2025 #ChampionsTrophy #indvsnzfinal #ChampionsTrophyFinal",2025-03-10T04:27:24.000Z,honest intensity cricket dubai way better match held pakistan dubai pitch like giving full effort score even single run treat watch cricket fan,0
@ddnews_guwahati,"#DDNGuwahati #News সুদীৰ্ঘ ১২ বছৰীয়া উৎকণ্ঠাৰ অন্ত পেলাই চেম্পিয়নছ ট্ৰফীৰ খিতাপ দখল টীম ইণ্ডিয়াৰ।
@ICC
 
@BCCI
 
#TeamIndia | #Victory | #ChampionsTrophyFinal | #INDvNZ | #ChampionsTrophy2025 | #ViratKohli | #RohitSharma 
#ddnewsassamese",2025-03-10T04:33:53.000Z,সদৰঘ বছৰয উৎকণঠৰ অনত পলই চমপযনছ টৰফৰ খতপ দখল ইণডযৰ,3
@AmitSha77704222,भारत की जीत में उत्साहित भारतीय युवाओं की रैली पर इंदौर मध्यप्रदेश में #Ramadan    के महीने में जामा मस्जिद के पास भारत की जीत से दुःखी रोजेदारों ने हमला कर दिया। समझ नहीं आ रहा इनको किस बात की खुन्नस आई?#ChampionsTrophy2025,2025-03-10T04:37:56.000Z,भरत उतसहत भरतय यवओ इदर मधयपरदश महन मसजद भरत रजदर हमल समझ इनक खननस,2
@JogchndPravin,"देश की प्रथम महिला शिक्षिका सावित्रीबाई फुले जी की पुण्यतिथि पर उन्हें सादर नमन।

#SavitriBaiPhule
#ChampionsTrophy2025 #sstvi",2025-03-10T04:34:35.000Z,परथम महल शकषक सवतरबई पणयतथ उनह सदर नमन,3
@jaihind241,"Congratulations Team India on a special win! Have been dominant throughout and by far the best team in the competition!   
@imVkohli
 @ImRo45
 #ChampionsTrophy2025 
@ShubmanGill
 @ImRaina
 @iSunilTaneja
 @cricketaakash",2025-03-10T04:41:04.000Z,congratulation team india special win dominant throughout far best team competition,1
@BusinessKaBhai,"भारतीय टीम को ऐतिहासिक विजय की ढेर सारी शुभकामनाएं 

#ChampionsTrophy2025 #indvsnzfinal #IndiaWins",2025-03-10T04:41:07.000Z,भरतय ऐतहसक वजय शभकमनए,4
@ABPNews,"#WATCH | 'भारत की जीत पर बहुत खुश हूं, रोहित दुनिया के बेहतरीन बल्लेबाज' abp न्यूज़ से बोले रोहित शर्मा के कोच दिनेश लाड

http://abplive.com/live-tv
@romanaisarkhan
 @MrityunjayNews
#DineshLad #RohitSharma #INDvsNZ #TeamIndia #ChampionsTrophy2025",2025-03-10T04:33:32.000Z,भरत बहत रहत दनय बहतरन बललबज abp नयज रहत शरम दनश,3
@CricBrunch,"Dinesh Kartik on Rohit Sharma intent 

#ChampionsTrophy2025",2025-03-10T04:38:53.000Z,dinesh kartik rohit sharma intent,2
@NeerajRoyKumar,#ChampionsTrophy2025,2025-03-10T04:32:16.000Z,,-1
@Nilesh Bunkar,Rohit Sharma & Virat Kohli. The Greatest Duo. #RoKo #ChampionsTrophy2025 #viralreel #indvsnzfinal #RohitSharma𓃵 #cricketlovers #ViratKohli𓃵  #KLRahul #viralvideo #HardikPandya #Cricket #ChampionsTrophyFinal,2025-03-10T04:26:33.000Z,rohit sharma virat kohli greatest duo,2
@RahulChauhan329,"Ek Gujarati Sab pe Bhari

But Yaha to 4-4
@hardikpandya7
 @akshar2026
 @imjadeja
  and Hamare 
@JayShah
 



#ChampionsTrophy2025 #iccchampionstrophy2025 #ICCChampionsTrophy 

Proud of GUJJUs",2025-03-10T04:33:35.000Z,gujarati sab bhari yaha hamare proud gujjus,0
@itsRudro27,"Rohit Sharma—calm, tactical, and unstoppable!  His fearless captaincy & solid batting made all the difference in #ChampionsTrophy2025. A leader who led from the front and delivered when it mattered most!  #CaptainRohit #Hitman #TeamIndia",2025-03-10T04:26:29.000Z,rohit sharmacalm tactical unstoppable fearless captaincy solid batting made difference leader led front delivered mattered,4
karunesh kumar@,"#ChampionsTrophy2025 Congratulations team INDIA  
#indvsnzfinal #ChampionsTrophyFinal #iccchampionstrophy2025",2025-03-10T04:40:52.000Z,congratulation team india,1
@neelam_121,"कितना प्यारा वीडियो है। मोहम्मद शमी की माँ के पैर छूकर आशीर्वाद लिया विराट कोहली ने 
असली हिंदुस्तान तो ये ही है यार.. लड़ाई झगड़ा नफ़रत सब धर्म के नाम पर बकवास बातें भूल जाओ और ख़ुश रहो देशवासियों।
 #ChampionsTrophy2025  #iccchampionstrophy2025",2025-03-10T04:27:03.000Z,कतन पयर वडय महममद छकर आशरवद वरट कहल असल हदसतन लडई झगड नफरत धरम बकवस दशवसय,3
@cricxnews140982,"KKR EDIT FOR THE KING. 
#ChampionsTrophy2025 #ViratKohli𓃵",2025-03-10T04:36:38.000Z,kkr edit king,1
@NNB9999,"Looking like Kl rahul still got stuck at cwc 23 like me
Move on rahul 
Be expressive atleast about winning #ChampionsTrophy2025",2025-03-10T04:28:03.000Z,looking like rahul still got stuck cwc like move rahul expressive atleast winning,3
@Saurabh74796928,"What is coast of Virat Kohli s 1 run.
#ChampionsTrophy2025",2025-03-10T04:38:54.000Z,coast virat kohli run,0
@airnews_Chennai,"𝗖. 𝗛. 𝗔. 𝗠. 𝗣. 𝗜. 𝗢. 𝗡. 𝗦!  

#ChampionsTrophy2025 ||

சாம்பியன்ஸ் கோப்பை கிரிக்கெட் போட்டியில் #India 4 விக்கெட் வித்தியாசத்தில் #NewZealand-ஐ வீழ்த்தி கோப்பையை வென்றது.

#ChampionsTrophyFinal | #INDvsNZ  | #Finals | #iccchampionstrophy2025 
@ICC
 | 
@BCCI",2025-03-10T04:27:02.000Z,சமபயனஸ கபப கரககட படடயல வககட வததயசததல வழதத கபபய வனறத,3
@IndiaNewsUP_UK,"BREAKING: Champions Trophy Final 2025 में टीम इंडिया की जीत के बाद अभिनेता सोनू सूद ने सभी खिलाड़ियों को दी बधाई 
#indvsnzfinal #INDvsNZ #ChampionsTrophy #ChampionsTrophy2025 #ChampionsTrophyFinal #RohitSharma𓃵 #ViratKohli𓃵 Congratulations Team India 
@SonuSood
 @imVkohli
 @ImRo45",2025-03-10T04:43:46.000Z,breaking champion trophy final 2025 इडय अभनत खलडय बधई congratulation team india,1
@RajanPaswan26,"हम सोच रहे थे चहल भाई बहुत गहरे डिप्रेशन में होंगे लेकिन भाई पहले से ज्यादा खुश नजर आरहा है।
#ChampionsTrophy2025",2025-03-10T04:34:58.000Z,चहल बहत गहर डपरशन लकन पहल जयद नजर आरह,4
@pallavimedia,"India wins ICC Champions Trophy 2025 

#BCCI 
#ChampionsTrophy2025 
#RohitSharma𓃵",2025-03-10T04:33:58.000Z,india win icc champion trophy 2025,1
@Only4MySidNaaz,"It feels Surreal that we belongs to this generation
Now we hv stories to tell abt our best CAPTAINS
CHAMPIONS ONCE AGAIN
#ChampionsTrophy2025 #India",2025-03-10T04:40:05.000Z,feel surreal belongs generation story tell abt best captain champion,3
@air2seaofficial, Champions know that every victory deserves a celebration! Why not mark yours with an unforgettable cruise?  From epic matches to epic voyages—Sea2Air has you covered! #Sea2Air #ChampionsTrophy2025,2025-03-10T04:26:37.000Z,champion know every victory deserves celebration mark unforgettable cruise epic match epic voyagessea2air covered,4
@Subs10387656261,#indvsnzfinal #PKMKBForever #ChampionsTrophy2025 #StupidMoment  #MondayMotivation  #RohitSharma #टीमइंडिया #ChampionsTrophy #ChampionsTrophyFinal Is it possible that she is another gold digger??,2025-03-10T04:31:01.000Z,मइडय possible another gold digger,1
@jodhpurwale,"भारत चैंपियन ट्रॉफी जीतने के बाद अफ़ग़ानिस्तान में जश्न मनाया गया !
हिन्दू,अफगानी भाई भाई   
 #महादेवशिव #RohitSharma #StopAurangzeb #PKMKBForever #PKMKB #ChampionsTrophy2025 #StupidMoment #Dhanashree #INDvsNZ #MondayMotivation #भारतीयक्रिकेटटीम #RohitSharma #टीमइंडिया",2025-03-10T04:40:53.000Z,भरत चपयन टरफ जतन अफगनसतन जशन मनय हनदअफगन दवशव रतयकरकटटम मइडय,1
@shailendrasy12,"जिसे पा नहीं सकते उसे देख कर
खुश होना भी एक मोहब्बत है  

#ChampionsTrophy2025 #INDvsNZ",2025-03-10T04:28:05.000Z,सकत महबबत,0
@Srk_Lovely_Assu,Champions    #ChampionsTrophy2025 #ChampionsTrophy #India #CricketFinal,2025-03-10T04:43:48.000Z,champion,1
@VikashJ13660845,"WINNER DON'T QUIT UNTIL THEY WIN

#ChampionsTrophy2025",2025-03-10T04:25:32.000Z,winner dont quit win,2
@prince_uidesign,Rohit Sharma – the ultimate trophy collector!  A legend in the making!  #ChampionsTrophy2025 #RohitSharma𓃵,2025-03-10T04:38:47.000Z,rohit sharma ultimate trophy collector legend making,2
@TheresourcefulN,"These वि-रो के वीर are unstoppable! Congratulations, Team India, on clinching the Champions Trophy title!

#ChampionsTrophy2025 #INDvsNZ #Resourceful #India 

PS: 
@ICC",2025-03-10T04:34:19.000Z,unstoppable congratulation team india clinching champion trophy title,1
@Mogambo_KhushHuwa,"#ChampionsTrophy2025
#INDvsNZ
#ChampionsTrophy 
#ChampionsTrophyFinal 
#INDvsNZ 

#RohitSharma𓃵  waiting for those who were talking about his retirement.....",2025-03-10T04:30:43.000Z,waiting talking retirement,2
@Shahkar1994,"चतुर कप्तानी
चक्रवर्ती की गुगली
स्पिनर्स की धौंस
कुलदीप की फिरकी
पंड्या का पावर
अय्यर की साझेदारी
रोहित का खौफ
जड्डू का चुका

और अंत में ऐतिहासिक जीत के साथ चैम्पियन का टैग।

कर लिया कप मुट्ठी में।",2025-03-10T04:31:13.000Z,चतर कपतन चकरवरत गगल सपनरस कलदप फरक पडय पवर अययर सझदर रहत जडड ऐतहसक चमपयन मटठ,3
@pawanbhatia83,Lol...Get your facts checked... 2009 CHAMPIONS TROPHY hosted by South Africa where all their matches were at Centurion. Still they couldn't make it to the finals. #ChampionsTrophy2025,2025-03-10T04:32:21.000Z,lolget fact checked 2009 champion trophy hosted south africa match centurion still couldnt make final,4
@AnkitSa29063287,"ऐतिहासिक जीत पर टीम इंडिया को बहुत-बहुत बधाई
#हार्दिक_शुभकामनाएं_________________

#ChampionsTrophy2025",2025-03-10T04:27:05.000Z,ऐतहसक इडय बहतबहत बधई रदक_शभकमनए_________________,3
@shahinawab_,"Srilanka Masters Vs England Masters 

Player run Upul Tharanga Total run 27 YES @ 1.86

#Legendary #ChampionsTrophy2025 #indvsnzfinal #bettingpicks",2025-03-10T04:35:32.000Z,srilanka master england master player run upul tharanga total run yes 186,4
@ParthVa53135321,"aree itna woh laga tha ye  jeetne me kaise bhul gaye rohit bhai
#TeamIndia #ChampionsTrophy2025 #RohitSharma𓃵",2025-03-10T04:30:42.000Z,aree itna woh laga tha jeetne kaise bhul gaye rohit bhai,1
@Shahkar1994,"चतुर कप्तानी
चक्रवर्ती की गुगली
स्पिनर्स की धौंस
कुलदीप की फिरकी
पंड्या का पावर
अय्यर की साझेदारी
रोहित का खौफ
जड्डू का चुका

और अंत में ऐतिहासिक जीत के साथ चैम्पियन का टैग।

कर लिया कप मुट्ठी में।",2025-03-10T04:31:00.000Z,चतर कपतन चकरवरत गगल सपनरस कलदप फरक पडय पवर अययर सझदर रहत जडड ऐतहसक चमपयन मटठ,3
@BhaskarPG,"Yesterday, one country was playing to win. A neighbouring country, the ‘host’ was praying that the other country would lose. The first country had been built on millennia of civilizational ethos. The other was built on hate, separatism & lust for power. #ChampionsTrophy2025",2025-03-10T04:43:00.000Z,yesterday one country playing win neighbouring country host praying country would lose first country built millennium civilizational ethos built hate separatism lust power,3
@dev8354,"#आँखों_देखा_भगवान
#ChampionsTrophy2025
संत गरीबदास जी ने कहा है
सर्व कला सतगुरु साहेब की, हरि आए हरियाणे नूँ। 
सन् 1727 में सर्व शक्तिमान परमेश्वर कबीर जी जिंदा महात्मा रूप में सतलोक से आकर संत गरीबदास जी को गांव छुड़ानी, जिला झज्जर हरियाणा में मिले थे।
Sant Garibdas Ji Maharaj",2025-03-10T04:40:35.000Z,ख_दख_भगवन गरबदस सरव सतगर सहब हरयण 1727 सरव शकतमन परमशवर कबर महतम सतलक आकर गरबदस छडन झजजर हरयण sant garibdas maharaj,4
@meeku_03,"Pure Emotion 
#RoKo #ChampionsTrophy2025 #ChampionsTrophy #ChampionsTrophyFinal",2025-03-10T04:39:22.000Z,pure emotion,3
@Akhil_Ak_Garg,"India wins the #ChampionsTrophy2025
Oh Captain My Captain
Thankyou #RohitSharma𓃵 
@ImRo45
 @BCCI",2025-03-10T04:29:20.000Z,india win captain captain thankyou,1
@SadashivLad4,"#ChampionsTrophy2025
#सत_भक्ति_संदेश",2025-03-10T04:36:20.000Z,त_सदश,4
@twinklingtina,"Blessing the timeline with Kashi Vishwanath Swamy’s darshan.

Har Har Mahadev 
#HarHarMahadev 
Thank you Bhagwanji 

#ChampionsTrophy2025 #INDvsNZ #ChampionsTrophyFinal",2025-03-10T04:42:29.000Z,blessing timeline kashi vishwanath swamys darshan har har mahadev thank bhagwanji,2
@Atrangi_humors,#ChampionsTrophy2025   scenes right from afganistan after India win .,2025-03-10T04:37:31.000Z,scene right afganistan india win,1
@mysportswiz,"Two GOATs, two iconic moments, one legacy!  Messi & Kohli—rewriting history in style!   

http://sportswiz.live 

#LegendsOnly #GameChangers #HitmanEra #CaptainRohit #ChampionsTrophy2025 #INDvsNZ #RohitSharma #भारतीयक्रिकेटटीम #NewZealand #भारतीयटीम #रोहितशर्मा",2025-03-10T04:39:12.000Z,two goat two iconic moment one legacy messi kohlirewriting history style रतयकरकटटम रतयटम हतशरम,1
@VikashJ13660845,"THE FIVE ICC TROPHIES FOR VIRAT KOHLI 

#ChampionsTrophy2025",2025-03-10T04:34:38.000Z,five icc trophy virat kohli,0
@CBNewsN,"#TeamIndia VS #TeamSalaar 

#Prabhas #ViratKohli #ChampionsTrophy2025",2025-03-10T04:36:57.000Z,,-1
@SubhamYada87717,कैप्शन दीजिए..#ChampionsTrophy2025,2025-03-10T04:41:40.000Z,कपशन दजए,4
@jodhpurwale,"भारत के शत्रुओं और आततायियों की कब्रों को खोद कर सूअरों को खिला दिया जाए।
.
.
#ChampionsTrophy2025 #महादेवशिव #RohitSharma #StopAurangzeb #PKMKBForever #PKMKB #ChampionsTrophy2025 #StupidMoment #Dhanashree #INDvsNZ #MondayMotivation #भारतीयक्रिकेटटीम #RohitSharma #टीमइंडिया",2025-03-10T04:34:18.000Z,भरत शतरओ आततयय कबर सअर दवशव रतयकरकटटम मइडय,2
@Kuldeepsharmap,"""भारतीय टीम को बधाई, सभी खिलाड़ियों ने हर भारतीय को गौरवान्वित कर दिया है""

◆ कांग्रेस सांसद राहुल गांधी ने कहा 
@RahulGandhi
 | #ChampionsTrophy2025 | #INDvsNZ | भारतीय क्रिकेट टीम | टीम इंडिया | New Zealand",2025-03-10T04:29:19.000Z,भरतय बधई खलडय भरतय गरवनवत कगरस ससद रहल भरतय करकट इडय new zealand,2
@IamSinghaniya,"Header Updated 
Hummmmm Jeeeettttttt Gyeeeeee
#ChampionsTrophy2025",2025-03-10T04:35:55.000Z,header updated hummmmm jeeeettttttt gyeeeeee,0
@bhatia_g,"Society stuck with this cancer.

#ChampionsTrophy2025 #ChampionsTrophyFinal",2025-03-10T04:43:20.000Z,society stuck cancer,2
@TulsiCr45,"हरे कृष्ण हरे कृष्ण कृष्ण कृष्ण हरे हरे 
#MondayMotivaton #ChampionsTrophy2025 #RohitSharma #IndianCricketTeam #TeamIndia #INDvNZ #ViratKohli𓃵",2025-03-10T04:27:48.000Z,कषण कषण कषण कषण,3
@PratikaRawal64,Congratulations to Team India on a well-deserved and dominant champions trophy victory ! Going undefeated all the way is no small feat.  #ChampionsTrophy2025 #indiancricket #India ,2025-03-10T04:25:54.000Z,congratulation team india welldeserved dominant champion trophy victory going undefeated way small feat,3
@Gshashanksharma,". 
@RishabhPant17
 consent tiskunnava ah pilla daggara ?? 
@Chinmayi
 Please address this issue. 

#indvsnzfinal #ChampionsTrophy2025",2025-03-10T04:40:33.000Z,consent tiskunnava pilla daggara please address issue,4
@ihirenjoshi1111,"Amalaki Ekadashi 
 
 As the Amla tree blossoms, may your life blossom with good health and prosperity. Happy #Amalakiekadasi ! 

#AmalakiEkadashi #EkadashiVrat #VishnuDevotee #FastingTradition #VedicTradition #India #hirenjoshi #ChampionsTrophy2025 #ChampionsTrophy #حساب_المواطن",2025-03-10T04:42:59.000Z,amalaki ekadashi amla tree blossom may life blossom good health prosperity happy,1
@MyYogiSarkar,"आईसीसी चैम्पियंस ट्राफी 2025 में शानदार प्रदर्शन करते हुए भारतीय क्रिकेट टीम के विजेता बनने पर हार्दिक बधाई

#ChampionsTrophy2025",2025-03-10T04:39:20.000Z,आईसस चमपयस टरफ 2025 शनदर परदरशन करत भरतय करकट वजत बनन हरदक बधई,0
@DiwakerVerma1,"Wallpaper update...
#ChampionsTrophy2025 
#iccchampionstrophy2025 
#ViratKohli𓃵 
#TeamIndia",2025-03-10T04:26:14.000Z,wallpaper update,2
@rajivojha9,"बुरा न मानो होली है, खाली कंगलों की झोली है
#ChampionsTrophy2025",2025-03-10T04:41:44.000Z,कगल,1
@Thevoiceinspire,"भारत की इस जीत में आपको सबसे ज्यादा किस खिलाड़ी की परफॉर्मेंस पसंद आई? कमेंट में बताइए!  #INDvsNZ #CricketLovers #RohitSharma𓃵
#ChampionsTrophy2025 #ChampionsTrophy #ChampionsTrophyFinal",2025-03-10T04:41:16.000Z,भरत आपक सबस जयद खलड परफरमस पसद कमट बतइए,2
@astroraj,"इस वर्ष 
होलिकोत्सव से पहले विजयोत्सव...
We are the Champions!  The nation celebrates remarkable success.
अस्माकं देशे बहवः उत्सवा: भवन्ति।
#ChampionsTrophy2025",2025-03-10T04:33:23.000Z,वरष हलकतसव पहल वजयतसव champion nation celebrates remarkable success असमक बहव उतसव भवनत,0
@upen9999,"Are we in India or Pakistan? 

Police in Karimnagar stopped celebrations of India’s victory citing communal reasons Seriously?

Since when did celebrating our nation’s win become a communal issue? Is this India or has it turned into Pakistan?

#IndiaWon #ChampionsTrophy2025",2025-03-10T04:32:57.000Z,india pakistan police karimnagar stopped celebration india victory citing communal reason seriously since celebrating nation win become communal issue india turned pakistan,0
@Mr_player_18,"RO-KO  
@imVkohli
 @ImRo45
 

#ViratKohli𓃵 #RohitSharma𓃵 
#ChampionsTrophy2025 #ChampionsTrophyFinal",2025-03-10T04:39:35.000Z,roko,0
@indiatvnews,"विराट कोहली ने छुए मोहम्मद शमी की मां के पैर, आपका दिल जीत लेगा ये वायरल VIDEO 

#ViratKohli #MohammedShami #ChampionsTrophy2025",2025-03-10T04:33:56.000Z,वरट कहल महममद आपक वयरल video,3
@Jaipal_singh___,"Abhi Or jeetega Me rukega Nhi 

Captain Rohit Sharma on his future plans : (Jo chal raha hai woh chalega) 

#INDvsNZ  | #RohitSharma | #ChampionsTrophy2025",2025-03-10T04:35:53.000Z,abhi jeetega rukega nhi captain rohit sharma future plan chal raha hai woh chalega,4
@sports_tak,"'I was just wishing that if India had won this in Lahore': Jadeja says winning Champions Trophy 2025 final on Pakistan soil 'would've been better'
#ChampionsTrophy2025 #indvsnzfinal",2025-03-10T04:42:45.000Z,wishing india lahore jadeja say winning champion trophy 2025 final pakistan soil wouldve better,2
@baba_yaar_,"Ky beautiful beautiful subah aj lg rhi h‍
#ChampionsTrophy2025",2025-03-10T04:35:54.000Z,beautiful beautiful subah rhi,4
@NTVJustIn,"అమరావతి: ఛాంపియన్స్‌ ట్రోఫీ గెలుచుకున్న భారత జట్టుకు ఏపీ అసెంబ్లీ అభినందనలు.. ఛాంపియన్స్‌ ట్రోఫీ గెలవడం ఇది మూడోసారి.. టీమిండియా కెప్టెన్.. టీం సభ్యులకు అసెంబ్లీ తరపున అభినందనలు-స్పీకర్ అయ్యన్నపాత్రుడు.

#AndhraPradesh #APAssembly #ChampionsTrophy2025 #ChampionsTrophyFinal",2025-03-10T04:31:20.000Z,అమరవత ఛపయనస టరఫ గలచకనన భరత జటటక అసబల అభనదనల ఛపయనస టరఫ గలవడ మడసర టమడయ కపటన సభయలక అసబల తరపన అభనదనలసపకర అయయననపతరడ,0
