Username,Tweet,Timestamp,Processed_Tweet,Dominant_Topic
@lm_deals,"boAt Airdopes 311 Pro, 50HRS Battery, Fast Charge

 price 799

https://amzn-to.co/qaBQsO

#ViratKohli #Chhaava #ChampionsTrophyFinal #SVSC4K",2025-03-09T06:10:26.000Z,boat airdopes 311 pro 50hrs battery fast charge price 799,1
@omaramkhoth,"भारतीय टीम को फाइनल मैच के लिए शुभकामनाएं 

#ChampionsTrophyFinal #INDvsNZ
#RohitSharma #ViratKohli 
#TeamIndia #ChampionsTrophy2025
#ICC #ICCCT",2025-03-09T03:56:20.000Z,भरतय फइनल शभकमनए,4
@__mommasboy____,"Happy anniversary mom and dad 
.
.
.
.
.
.
.
#happyanniversary #momdad #INDvsNZ #indvnz
#ChampionsTrophyFinal #viratkohli #rohitsharma #ChampionsTrophy ",2025-03-09T03:20:46.000Z,happy anniversary mom dad,0
@cpc24x7,"The gentleman's game! 

On the field - toughest rivals 
Off the field - 2 Great legends 

   | Like Share Repost
#INDvNZ | #ChampionsTrophy2025
#RohitSharma | #ViratKohli | #INDvsNZ",2025-03-09T04:49:13.000Z,gentleman game field toughest rival field great legend like share repost,3
@iam_ayushdash,1/  The #ChampionsTrophy2025 is more than just another ICC event—it's a battle for supremacy!  Here’s why #TeamIndia MUST win it & why Pakistan fell short!  #INDvsAUS #ViratKohli #RohitSharma𓃵,2025-03-09T03:24:41.000Z,another icc eventits battle supremacy here must win pakistan fell short,3
@pandat_4141,"Sad Reality! 

If India Wins Today Virat Kohli ko gaali padegi ki wo captain hoke kuch nai kar paya !

If India Loses Today Then Also Gaali To Kohli Ko Hi Padegi ! 

For Me Best Cricketer Of Decade Is #ViratKohli ! 

#INDvsNZ #ChampionsTrophy2025",2025-03-09T03:48:24.000Z,sad reality india win today virat kohli gaali padegi captain hoke kuch nai kar paya india loses today also gaali kohli padegi best cricketer decade,4
@MixUpInfo03,"Shawn Mendes in Virat Kohli Jersey.
What a Lovely Gesture.
#ViratKohli #ShawnMendes",2025-03-09T02:40:33.000Z,shawn mendes virat kohli jersey lovely gesture,2
@myKhelMalayalam,"ഗ്രൂപ്പു ഘട്ടത്തിലെ വിജയം പോലെ ഇന്ത്യക്ക് ഫൈനല്‍ എളുപ്പമാവില്ല
#ChampionsTrophy2025 #INDvsNZ #indiancricketteam #rohitsharma #viratkohli #odicricket #KaneWilliamson #MykhelMalayalam",2025-03-09T04:01:06.000Z,ഗരപപ ഘടടതതല വജയ ഇനതയകക ഫനല എളപപമവലല,4
@hemanath2501,"#ViratKohli = 68
#RohitSharma = 74",2025-03-09T02:30:51.000Z,,-1
@Wasimkh110,"81 runs 

#viratkohli #Virat #BCCI #JaspritBumrah #IPL2025  #MohammedShami #2027WC #ChampionsTrophyFinal #RohitSharma 

Tagging 
@mAkashKr03
 
@sabita_r_panda1",2025-03-09T05:26:04.000Z,run tagging,4
@CNNnews18,"Emotions are running high as #ViratKohli and #RohitSharma  will be playing their last ICC event together & India aims to reclaim the Trophy after 12 years while #NewZealand looks to add another trophy to their name.
@kotakyesha
 @Neethureghu
   With 
@Elizasherine",2025-03-09T06:08:27.000Z,emotion running high playing last icc event together india aim reclaim trophy year look add another trophy name,1
@startvsamachar,"प्रयागराज : न्यूजीलैंड के खिलाफ चैंपियंस ट्रॉफी के फाइनल में भारत की जीत के लिए ट्रांसजेंडर समुदाय ने हवन किया।

#INDvsNZ #iccchampionstrophy2025 #ChampionsTrophy #harbhajansingh #viratkohli #hardikpandya #icc  #indvsnz   #pryagrajnews #pryagaraj #pryagraj #transgender",2025-03-09T05:25:21.000Z,परयगरज नयजलड खलफ चपयस टरफ फइनल भरत टरसजडर समदय हवन,1
@BeingVishalO7,"I support both of player 

“King Kohli” 
“Hitman Rohit”

India will win  

#Giveaway #Cricket #ViratKohli #RohitSharma #CricketTwitter #indvsnzfinal",2025-03-09T04:43:34.000Z,support player king kohli hitman rohit india win,4
@KrishnaDubey_07,"1) 20-25 
2) 60
3) 270
@mufaddal_vohra
 @_FaridKhan
 

#IndvsNz #CricketContest #GiveawayAlert #ChampionsTrophy2025final #ViratKohli #RohitSharma",2025-03-09T04:45:04.000Z,2025 270,3
@fanfiesta247,"𝐋𝐮𝐜𝐤𝐲 𝐧𝐮𝐦𝐛𝐞𝐫 𝟗 

Virat Kohli (18), 1+8 = 9
Rohit Sharma (45), 4+5 = 9

#ViratKohli and #RohitSharma will be both playing their 𝟵𝘁𝗵 𝗜𝗖𝗖 𝗳𝗶𝗻𝗮𝗹 today. 

#INDvsNZ #ChampionsTrophy #viratkohli #rohitsharma",2025-03-09T05:38:06.000Z,𝐋𝐮𝐜𝐤𝐲 𝐧𝐮𝐦𝐛𝐞𝐫 virat kohli rohit sharma playing 𝟵𝘁𝗵 𝗜𝗖𝗖 𝗳𝗶𝗻𝗮𝗹 today,4
@GulNishar4,"Come on team india 
#INDvsNZ #ChampionsTrophy2025 #ChampionsTrophy #ViratKohli #RohitSharma #ShubmanGill #MohammedShami #HardikPandya",2025-03-09T03:03:15.000Z,come team india,2
@uf2151593,CSK ने पोस्टर जारी किया है फाइनल मैच के लिए।   #ChampionsTrophy #CSK #ViratKohli #RohitSharma #HardikPandya #ShubmanGill #iyer #jadeja  #mdshami #KaneWilliamson #santner  #indvsnzfinal #RachinRavindra,2025-03-09T04:01:43.000Z,csk पसटर फइनल,3
@gameyaaad,"Which batsman will be highest run scorer tomorrow in CT Final?
#indvsnz #ctfinal #championstrophy #viratkohli #rohitsharma #rachinravindra #kanewilliamson",2025-03-09T02:30:12.000Z,batsman highest run scorer tomorrow final,1
@SS_Khichar,"Are you ready for the #ChampionsTrophy 2025 final 
#ChampionsTrophy2025 
#RohitSharma #INDvsNZ #ViratKohli",2025-03-09T05:49:34.000Z,ready 2025 final,3
@lm_deals," GO DESi Premium Holi Gift Hamper 299

https://amzn-to.co/1dAukl

#UFC313 #ViratKohli #RohitSharma #SSMB29",2025-03-09T06:02:33.000Z,desi premium holi gift hamper 299,4
@FantasyTipToWin," CONTEST ALERT  

Here's a chance for you to win 500 rupees today!  All you have to do is predict how many runs will Virat Kohli score in the Champions Trophy Finals between India and New Zealand today?  #INDvsNZ #ViratKohli

IMPORTANT NOTE 

You have to mention the",2025-03-09T04:29:55.000Z,contest alert here chance win 500 rupee today predict many run virat kohli score champion trophy final india new zealand today important note mention,4
@ZeeNewsEnglish,Top Records #ViratKohli Can Break In #INDvsNZ #ChampionsTrophy2025 Final,2025-03-09T05:47:40.000Z,top record break final,1
@Raghavendra0703,"39 runs
#IndiaVsNewZealand #viratkohli #INDvsNZ  #AbhishekhMalhan #Virat #BCCI #JaspritBumrah #IPL2025 #indvsnzfinal #MohammedShami",2025-03-09T05:17:25.000Z,run,4
@TheshadowJ45225,"#RohitSharma𝐋𝐮𝐜𝐤𝐲 𝐧𝐮𝐦𝐛𝐞𝐫 𝟗  

Virat Kohli (18), 1+8 = 9
Rohit Sharma (45), 4+5 = 9

#ViratKohli and #RohitSharma will be both playing their 𝟵𝘁𝗵 𝗜𝗖𝗖 𝗳𝗶𝗻𝗮𝗹 tomorrow. 

#INDvsNZ | #ChampionsTrophy",2025-03-09T05:55:33.000Z,𝐧𝐮𝐦𝐛𝐞𝐫 virat kohli rohit sharma playing 𝟵𝘁𝗵 𝗜𝗖𝗖 𝗳𝗶𝗻𝗮𝗹 tomorrow,4
@Hassan_Jnp,#TeamIndia #INDvsNZ #final #ChampionsTrophy2025 #ChampionsTrophy #viratkohli #rohitsharma #ShubmanGill #NZvIND,2025-03-09T04:55:49.000Z,,-1
@IndiaNewsUP_UK,"BREAKING: चैंपियंस ट्रॉफी का महा मुकाबला आज, दुबई में कीवियों से भिड़ेंगे भारतीय 'सुपरस्टार'
#INDvsNZ #indvsnzfinal #ICCChampionsTrophy #ChampionsTrophy2025 #RohitSharma #ViratKohli 
@BCCI
 @ICC
 @imVkohli
 @ImRo45
 #BreakingNews",2025-03-09T04:12:20.000Z,breaking चपयस टरफ मकबल दबई कवय भडग भरतय सपरसटर,2
@CNBC_Awaaz,"न्यूजीलैंड के खिलाफ चैंपियंस ट्रॉफी के फाइनल में भारत की जीत के लिए सारंग नाथ महादेव मंदिर में लोगों ने पूजा-अर्चना की।  

#INDvsNZ #ChampionsTrophy2025 #ChampionsTrophy #ChampionsTrophyFinal #ChampionsLeague #ChampionsCup #ViratKohli #RohitSharma #Varanasi",2025-03-09T05:21:31.000Z,नयजलड खलफ चपयस टरफ फइनल भरत सरग महदव मदर पजअरचन,2
@Shyamu5527,"111runs 117 balls 
#INDvsNZ #ViratKohli",2025-03-09T04:36:53.000Z,111runs 117 ball,4
@cpc24x7,"Mr. Selfless - Virat Kohli! 

The King always puts his nation first over himself 

   | Like Share Repost
#INDvNZ | #ChampionsTrophy2025
#RohitSharma | #ViratKohli | #INDvsNZ",2025-03-09T04:59:30.000Z,selfless virat kohli king always put nation first like share repost,3
@Zuhaib006,"If Virat kohli announced his retirement today?
#viratkohli #GOAT #king #kohli #cricket #INDvsNZ #ChampionsTrophy2025",2025-03-09T05:06:14.000Z,virat kohli announced retirement today,0
@Always4kohli,"A normal giveaway from my followers 

Predict S gill score and lucky winners will give 1000rs EACH.

Rule :-
 comment before the toss
follow rt and likes

 #IndiaVsNewZealand #viratkohli #INDvsNZ  #AbhishekhMalhan #Virat #BCCI #JaspritBumrah #IPL2025 #indvsnzfinal #MohammedShami",2025-03-09T03:38:40.000Z,normal giveaway follower predict gill score lucky winner give 1000rs rule comment toss follow like,2
@Vkgoat1817833,"King Kohli 

#Giveaway #Cricket #ViratKohli #RohitSharma #CricketTwitter #indvsnzfinal 
@_Yashhhh__
 
@king0718182
 
@supergoat155419",2025-03-09T04:25:06.000Z,king kohli,4
@_deep_pk,"भारतीय टीम के कप्तान रोहित शर्मा और
भारतीय टीम को फाइनल मैच के लिए शुभकामनाएं 

#ChampionsTrophyFinal #INDvsNZ
#RohitSharma #ViratKohli 
#TeamIndia #ChampionsTrophy2025",2025-03-09T03:34:48.000Z,भरतय कपतन रहत शरम भरतय फइनल शभकमनए,4
@Pradeep97642267,"𝐋𝐮𝐜𝐤𝐲 𝐧𝐮𝐦𝐛𝐞𝐫 𝟗 
Virat Kohli (18), 1+8 = 9
Rohit Sharma (45), 4+5 = 9

#ViratKohli and #RohitSharma will be both playing their 𝟵𝘁𝗵 𝗜𝗖𝗖 𝗳𝗶𝗻𝗮𝗹 tomorrow. 

#INDvsNZ | #ChampionsTrophyFinal #IStandWithAnujChaudhary #WomensDay #हरि_आये_हरियाणे_नू ""सूर्य नारायण""",2025-03-09T04:49:32.000Z,𝐋𝐮𝐜𝐤𝐲 𝐧𝐮𝐦𝐛𝐞𝐫 virat kohli rohit sharma playing 𝟵𝘁𝗵 𝗜𝗖𝗖 𝗳𝗶𝗻𝗮𝗹 tomorrow _आय_हरयण_न सरय नरयण,4
@lm_deals,"RISSACHI® TV Stand Wall Mount for 14-42 Inch LED TVs 

 price 279

https://amzn-to.co/YgCrf2

#TVKVijay #UFC313 #ViratKohli #RohitSharma",2025-03-09T06:07:37.000Z,rissachi stand wall mount 1442 inch led price 279,1
@CricketWishper,#indvsnzfinal #viratkohli #RohitSharma #INDvsNZ #ChampionsTrophy2025 #MSDhoni,2025-03-09T05:09:57.000Z,,-1
@wqs_shkh,"89 Runs 

#IndiaVsNewZealand #viratkohli #india #AbhishekhMalhan #Virat #BCCI #JaspritBumrah #IPL2025 #indvsnzfinal #MohammedShami 
@Always4kohli",2025-03-09T02:30:52.000Z,run,4
@forjustcricket,"Only Afghanistan is supporting India to win Final.

#ChampionsTrophy2025 #ChampionsTrophy #ChampionsTrophyFinal #iccchampionstrophy2025 #ICCChampionsTrophy #INDvsNZ #INDvNZ #Final #ICCChampionsTrophy #RohitSharma #ViratKohli #ShreyasIyer #ShubmanGill",2025-03-09T06:07:04.000Z,afghanistan supporting india win final,0
@jitendermeena93,#ChampionsTrophy2025 #ChampionsTrophy #IndiaVsNewZealand #viratkohli #viralreels #fypシ゚viralシfypシ゚,2025-03-09T04:18:45.000Z,viralシfypシ,4
@Kumarivaishali9,"Virat Kohli - 48 Runs

#ViratKohli #INDvsNZ #DoeCinema
@doecinema
Tag
@DeepikaMehta93
@adarsh_4435x
@Baidhyan1Rishav",2025-03-09T05:06:16.000Z,virat kohli run tag,4
@darshakbhatt94,"Indian Bowlers Best Suited for Each New Zealand Batter as per 
@AskPerplexity
..
Will Young: Shami
Ravindra: Kuldeep
Williamson: Varun
Mitchell: Jadeja
Latham: Axar
Phillips: Kuldeep
Bracewell: Varun
Santner: Shami",2025-03-09T04:32:09.000Z,indian bowler best suited new zealand batter per young shami ravindra kuldeep williamson varun mitchell jadeja latham axar phillips kuldeep bracewell varun santner shami,2
@Eswararasu3,"Bring it Home after 2013
#ViratKohli #Rohitsharma #INDvsNZ #iccchampionstrophy2025",2025-03-09T05:41:40.000Z,bring home 2013,3
@Monish09cric," GEORGIA VOLL SMASHED 99* (56) VS RCB IN THE WPL. 

#RohitSharma #ShubmanGill  #ShreyasIyer #ViratKohli #IPL #KLRahul  #INDvsNZ #ChampionsTrophy2025",2025-03-09T03:42:38.000Z,georgia voll smashed rcb wpl,4
@websuchna,"#ChampionsTrophyFinal  में #indvsnzfinal  के बीच फाइनल मुकाबला। आज दोपहर 2:00 बजे होगा टॉस 2:30 बजे से प्रारंभ होगा मैच। दोनों टीम आईसीसी इवेंट्स में 6 बार हुई हैं आमने-सामने 3 -3 की बराबरी पर है मुकाबला

#ChampionsTrophy2025 #cricket #sports #websuchna #RohitSharma #ViratKohli",2025-03-09T03:17:04.000Z,फइनल मकबल दपहर 200 230 पररभ आईसस इवटस आमनसमन बरबर मकबल,1
@DobhalGaga96075,"Please God  
.
.
.
#ChampionsTrophy2025 #ViratKohli",2025-03-09T06:02:15.000Z,please god,2
@CricketWishper,"other - it's just a match.

ICT fans - 

#NZvsIND #INDvsNZ #ChampionsTrophyFinal #viratkohli #RohitSharma #NewZealand #indvsnzfinal",2025-03-09T05:34:44.000Z,match ict fan,4
@Vd26012002," RECORDS FOR KING TO BREAK TODAY 

- 31 runs to be most run getter in icc final .
- 45 runs to be most run getter in CT history .
- 55 runs to be 2nd Most run getter in ODI formate .

One by one #viratkohli shab do it 

#ChampionsTrophy2025 
#ChampionsTrophyFinal",2025-03-09T05:06:16.000Z,record king break today run run getter icc final run run getter history run 2nd run getter odi formate one one shab,4
@KashmirAhead,"Art & Culture plays a crucial role in the economic development of the society believes J&K LG Shri Manoj Sinha 

#ChampionsTrophy #INDvsNZ #ViratKohli #KashmirNews",2025-03-09T03:17:26.000Z,art culture play crucial role economic development society belief shri manoj sinha,0
@sohailXK,"Indias champions trophy anthem
go and watch at youtube full
https://youtu.be/0u-SyT4x_zs?si=thspVPssta5_s0D0…

#INDvsNZ #ChampionsTrophy2025 #ChampionsTrophyFinal #IndianCricketTeam #INDvsPAK #Cricket #gameshow #ViratKohli𓃵 #ViratKohli #RohitSharma #RohitSharma𓃵 #TeamIndia #love #PakistanCricket #ICC",2025-03-09T03:35:05.000Z,india champion trophy anthem watch youtube full,4
@TanujSarda,"Chokli should retire. His range of shots has declined. While other players are mustering 4s and 6s he is very busy collecting singles  this is not 1970s. This is 2025. Two balls per innings and 5 players in the circle game has changed.

#ViratKohli",2025-03-09T05:55:07.000Z,chokli retire range shot declined player mustering busy collecting single 1970s 2025 two ball per inning player circle game changed,1
@TheNameIsShaha,Virat Kohli's with fan's #ChampionsTrophyFinal #ViratKohli #INDvsNZ ,2025-03-09T03:14:50.000Z,virat kohlis fan,2
@IndiaNewsUP_UK,"BREAKING: चैंपियंस ट्रॉफी का महा मुकाबला आज, सबसे छोटी फैन ने क्या कहा ?
#INDvsNZ #indvsnzfinal #ICCChampionsTrophy #ChampionsTrophy2025 #RohitSharma #ViratKohli
@BCCI
 @ICC
 @imVkohli
 @ImRo45
 #BreakingNews",2025-03-09T02:39:17.000Z,breaking चपयस टरफ मकबल सबस,2
@ItsAmalVfc,"#RCBUnbox tickets available 

DM ASAP ₹1500 each

Bulk tickets available 

#Rcb #ViratKohli𓃵 #Bengaluru #RoyalChallengersBengaluru #Smriti #rajatpatidar #ViratKohli #ChampionsTrophy2025 #INDvsNZ #RohitSharma𓃵 #ChampionsTrophyFinal",2025-03-09T03:10:07.000Z,ticket available asap 1500 bulk ticket available,1
@myKhelTelugu,"కెరీర్‌లో 550వ ఇంటర్నేషనల్ మ్యాచ్ అడనున్న విరాట్..!

#ViratKohli #KingKohli #Kohli #INDvsNZ #INDvNZ #NZvsIND #ChampionsTrophy2025 #ChampionsTrophy #ChampionsTrophyFinal #CTwithMykhel #MKTelugu",2025-03-09T05:47:27.000Z,కరరల 550వ ఇటరనషనల మయచ అడననన వరట,2
@DDTamilNews,"தீவிர பயிற்சியில் இந்திய அணி வீரர்கள் 

#ChampionsTrophy2025 | #ChampionsTrophyFinal | #TeamIndia | #INDvsNZ | #Newzealand | #India | #RohitSharma | #ViratKohli",2025-03-09T04:59:41.000Z,தவர பயறசயல இநதய வரரகள,1
@IndiaNewsUP_UK,"BREAKING: चैंपियंस ट्रॉफी का महामुकाबला, क्रिकेट प्रेमियों में उत्साह 
#INDvsNZ #indvsnzfinal #ICCChampionsTrophy #ChampionsTrophy2025 #RohitSharma #ViratKohli 
@BCCI
 @ICC
 @imVkohli
 @ImRo45
 #BreakingNews",2025-03-09T04:20:42.000Z,breaking चपयस टरफ महमकबल करकट परमय उतसह,2
@thatsMalayalam,"നെടുന്തൂണുകള്‍, ആരാവും ഫൈനലിലെ ഹീറോ?
#ViratKohli #KaneWilliamson #INDvsNZ #ChampionsTrophyFinal #ChampionsTrophy2025 #cricket #CTWithOneindia #OneindiaMalayalam",2025-03-09T05:04:59.000Z,നടനതണകള ആരവ ഫനലല,1
@CricketWishper,"Good luck team india

#ChampionsTrophyFinal #indvsnzfinal #INDvsNZ #viratkohli #RohitSharma #NewZealand #NZvsIND",2025-03-09T05:31:26.000Z,good luck team india,2
@FactFileNews,"This evening the Indian players will return everything equal to Team New Zealand...
#INDvsNZ #ViratKohli #ChampionsTrophyFinal #ChampionsTrophy2025",2025-03-09T05:52:29.000Z,evening indian player return everything equal team new zealand,2
@vibhusharma__," Let's go, Team India! 

The stage is set, the excitement is real! #Rohit and #Virat are ready to lead the charge against the Kiwis in this epic #ChampionsTrophy2025 #Final. 

March is ours—let’s make it a good one!  #BelieveInBlue #INDvNZ #ChampionsTrophyFinal #ViratKohli",2025-03-09T04:19:47.000Z,let team india stage set excitement real ready lead charge kiwi epic march ourslets make good one,2
@rajasekharaa,"𝐋𝐮𝐜𝐤𝐲 𝐧𝐮𝐦𝐛𝐞𝐫 𝟗  

Virat Kohli (18), 1+8 = 9
Rohit Sharma (45), 4+5 = 9

#ViratKohli and #RohitSharma will be both playing their 𝟵𝘁𝗵 𝗜𝗖𝗖 𝗳𝗶𝗻𝗮𝗹 Today. 

#INDvsNZ | #ChampionsTrophy #ICCChampionsTrophy #ChampionsTrophy2025 #IN…",2025-03-09T04:00:14.000Z,𝐋𝐮𝐜𝐤𝐲 𝐧𝐮𝐦𝐛𝐞𝐫 virat kohli rohit sharma playing 𝟵𝘁𝗵 𝗜𝗖𝗖 𝗳𝗶𝗻𝗮𝗹 today,4
@tv9kannada,"ಫೈನಲ್ ಪಂದ್ಯಕ್ಕಿಂತ ಟೀಮ್ ಇಂಡಿಯಾ ಅಭಿಮಾನಿಗಳಿಗೆ ಇವರಿಬ್ಬರದ್ದೇ ಚಿಂತೆ..!

#rohitsharma #viratkohli #TeamIndia #ChampionsTrophy2025 #INDvsNZ2025",2025-03-09T03:56:11.000Z,ಫನಲ ಪದಯಕಕತ ಇಡಯ ಅಭಮನಗಳಗ ಇವರಬಬರದದ,1
@RebalRelang,"Ivala match win avuthama or odipothana ane bayam kante Rohit and Virat yekkada retirement ichestaro anu bayam yekkuva ga undhi 

#RohitSharma #ViratKohli
#ChampionsTrophyFinal",2025-03-09T02:48:09.000Z,ivala match win avuthama odipothana ane bayam kante rohit virat yekkada retirement ichestaro anu bayam yekkuva undhi,0
@AmitPolitical,"Agar champion trophy jeetne ke baad Dono ne     ..Thish is My Last ICC Tournament Bol deya to.....

#ChampionsTrophy #IndiavsNz #ChampionsTrophyFinal #ViratKohli #RohitSharma #iccchampionstrophy2025",2025-03-09T03:21:17.000Z,agar champion trophy jeetne baad dono thish last icc tournament bol deya,3
@ETVBharatOD,"ODIରୁ ଅବସର ନେବେକି ରୋ-କୋ ? ଚାମ୍ପିଅନ୍ସ ଟ୍ରଫି ଫାଇନାଲ ପୂର୍ବରୁ ଭିଡିଓ ବାର୍ତ୍ତାରେ ଏମିତି କହିଲେ  #ChampionsTrophy2025  #ChampionsTrophyFinal  
  #Indian  #ViratKohli  #RohitSharma  #TeamIndia  #odi",2025-03-09T02:43:06.000Z,odiର ଅବସର ନବକ ଚମପଅନସ ଟରଫ ଫଇନଲ ପରବର ଭଡଓ ବରତତର ଏମତ କହଲ,4
@Brabari11,"𝐋𝐮𝐜𝐤𝐲 𝐧𝐮𝐦𝐛𝐞𝐫 𝟗  

Virat Kohli (18), 1+8 = 9
Rohit Sharma (45), 4+5 = 9

#ViratKohli and #RohitSharma will be both playing their 𝟵𝘁𝗵 𝗜𝗖𝗖 𝗳𝗶𝗻𝗮𝗹 tomorrow. 

#INDvsNZ | #ChampionsTrophy  #indvsnzfinal",2025-03-09T04:53:30.000Z,𝐋𝐮𝐜𝐤𝐲 𝐧𝐮𝐦𝐛𝐞𝐫 virat kohli rohit sharma playing 𝟵𝘁𝗵 𝗜𝗖𝗖 𝗳𝗶𝗻𝗮𝗹 tomorrow,4
@Priyanka1650112,"Scene before ct final today  
#RohitSharma #ChampionsTrophyFinal  , #ViratKohli ,#AIIMS , Pune ,#WomensDay , #INDvsNZ #ChampionsTrophyFinal , #ViratKohli𓃵 ,",2025-03-09T05:25:46.000Z,scene final today pune,1
@SouLxCrusaderr,"Just want him to recreate this
One 𝐅𝐢𝐧𝐚𝐥 push #ViratKohli 
#indvsnzfinal #ChampionsTrophy2025",2025-03-09T03:08:16.000Z,want recreate one 𝐅𝐢𝐧𝐚𝐥 push,3
