Username,Tweet,Timestamp,Processed_Tweet
@NareshMali1008,#Peddi ,2025-03-27T06:03:28.000Z,
@GhatakCommando,"""हमसे क्या भूल हुई कि सरकार ने हमारी पुरानी पेंशन बंद कर दी "" 

#OPSFORCAPF #RC16 #CSKvsRCB #Empuraan #KunalKamraControversy #VeeraDheeraSooran #CureOfDepression #Peddi #TejRan #Peddi #HBDRamCharan #WorldTheatreDay ChatGPT #RRvsKKR",2025-03-27T05:54:47.000Z,हमस सरकर हमर परन पशन chatgpt
@MB_Inferno,"Happy Birthday 
@AlwaysRamCharan
Anna & sending lots of Best wishes for #Peddi 
#HBDRamCharan",2025-03-27T06:04:39.000Z,happy birthday anna sending lot best wish
@Politikos_ET,"HBD Ram Charan Sandeep Reddy Vanga Heaps Praises On Peddi First Look Poster…
#politikosvinodam
#ramcharan
#sandeepreddyvanga
#tollywood
#entertainment 
#peddi",2025-03-27T05:37:33.000Z,hbd ram charan sandeep reddy vanga heap praise peddi first look poster
@GaneshGowda0,"Reyy aagu 

 Na pinned tweet chudu 

#RC16 #PEDDI #Peddi
#HBDRamCharan",2025-03-27T05:28:31.000Z,reyy aagu pinned tweet chudu
@RC_fans_kadapa,#Peddi x #SRH ,2025-03-27T06:19:34.000Z,
@SuryaPr67395216,"Wishing dearest 
@AlwaysRamCharan
 garu a very Happy Birthday! 

Your #PEDDI look is absolutely intense!  Keep surprising us with your incredible performances and making us proud, Global Star! 
#HBDRamCharan",2025-03-27T05:26:54.000Z,wishing dearest garu happy birthday look absolutely intense keep surprising incredible performance making proud global star
@g_a_n_i__,"HAPPY BIRTHDAY Little Bossuuuu.. Mr.Box-office uuuuuuuu "" Cherry "" / 
@AlwaysRamCharan
 
#HappyBirthdayRamCharan 
#HBDRamCharan 
#RC16 #Peddi #Nayak4K",2025-03-27T05:39:00.000Z,happy birthday little bossuuuu mrboxoffice uuuuuuuu cherry
@nottarak,"Chiru-Charan 
#RC16 #Peddi #RamCharan𓃵",2025-03-27T05:26:25.000Z,chirucharan
@clintEastwoooa1,"Light 1 side ye shining ga undi another side dark ga undhii 

I guess mass & class  multishades lo character undabothondi annamaata 

#Peddi #Rc16 #RamCharan𓃵 #HBDRamCharan",2025-03-27T05:33:06.000Z,light side shining undi another side dark undhii guess mass class multishades character undabothondi annamaata
@cinecorndotcom,"#RamCharan Strikes Back & How

Its Been 3 Hours Since The 1st Look Of #RamCharan's #Peddi Under #BuchibabuSana's Direction Has Been Released On The Eve Of His Birthday.

Looks Like The Powerful 1st Look Striked A Chord Across All Sections Of People & Areas, And In No Time It Has",2025-03-27T06:00:01.000Z,strike back hour since 1st look direction released eve birthday look like powerful 1st look striked chord across section people area time
@praneeeeee,"HBD #RAMCHARAN

#RC16 #Peddi",2025-03-27T05:49:52.000Z,hbd
@babuvetriveeran,"நாயகன் ராம் சரணின் பிறந்தநாளை முன்னிட்டு, ‘பெட்டி’ படத்தின் ஃபர்ஸ்ட் லுக் போஸ்டரை வெளியிட்டுள்ளது படக்குழு

இயக்குனர் புச்சி பாபு இயக்கும் இத்திரைப்படத்திற்கு  ""ஏ.ஆர்.ரஹ்மான்"" இசையமைக்கிறார்!

#RC16
#PEDDI
#RamCharan
#ARRahman",2025-03-27T05:16:50.000Z,நயகன சரணன பறநதநள மனனடட படட படததன ஃபரஸட பஸடர வளயடடளளத படககழ இயககனர பசச இயககம இததரபபடததறக ஏஆரரஹமன இசயமககறர
@nottarak,"Prabhas As Peddi 
#Prabhas #RamCharan𓃵 #Peddi",2025-03-27T05:28:42.000Z,prabhas peddi
